record_1_id,record_2_id,similarity_score,hire_date_diff_days,recommended_action
GT-002862,AC-000020,81.8,64,MANUAL_REVIEW
GT-003964,AC-000056,100.0,2257,VERIFY_HIRE_DATE
GT-001055,AC-000109,100.0,2778,VERIFY_HIRE_DATE
GT-010723,AC-000132,100.0,2622,VERIFY_HIRE_DATE
GT-009936,AC-000160,100.0,833,VERIFY_HIRE_DATE
GT-001254,AC-000224,78.8,811,MANUAL_REVIEW
GT-000095,AC-000226,100.0,99,VERIFY_HIRE_DATE
GT-003617,AC-000238,100.0,1719,VERIFY_HIRE_DATE
GT-005844,AC-000368,100.0,615,VERIFY_HIRE_DATE
GT-002156,AC-000466,100.0,1147,VERIFY_HIRE_DATE
GT-006116,AC-000491,100.0,618,VERIFY_HIRE_DATE
GT-009042,AC-000551,88.9,1249,VERIFY_HIRE_DATE
GT-009828,AC-000553,100.0,130,VERIFY_HIRE_DATE
GT-001952,AC-000626,100.0,3569,VERIFY_HIRE_DATE
GT-009383,AC-000811,81.8,2098,MANUAL_REVIEW
GT-010498,AC-000824,100.0,2424,VERIFY_HIRE_DATE
GT-001195,AC-000901,100.0,1657,VERIFY_HIRE_DATE
GT-012343,AC-000987,100.0,1495,VERIFY_HIRE_DATE
GT-012906,AC-001023,100.0,1165,VERIFY_HIRE_DATE
GT-005056,AC-001036,100.0,2191,VERIFY_HIRE_DATE
GT-000987,AC-001202,100.0,228,VERIFY_HIRE_DATE
GT-013336,AC-001224,100.0,1871,VERIFY_HIRE_DATE
GT-014644,AC-001271,100.0,1345,VERIFY_HIRE_DATE
GT-003274,AC-001286,75.0,959,MANUAL_REVIEW
GT-001701,AC-001434,100.0,632,VERIFY_HIRE_DATE
GT-014678,AC-001488,100.0,2199,VERIFY_HIRE_DATE
GT-007377,AC-001520,100.0,2582,VERIFY_HIRE_DATE
GT-011211,AC-001528,100.0,2675,VERIFY_HIRE_DATE
GT-010531,AC-001537,100.0,612,VERIFY_HIRE_DATE
GT-000019,AC-001630,100.0,601,VERIFY_HIRE_DATE
GT-006209,AC-001706,100.0,2831,VERIFY_HIRE_DATE
GT-001531,AC-001879,100.0,1391,VERIFY_HIRE_DATE
GT-004322,AC-001933,100.0,2070,VERIFY_HIRE_DATE
GT-001135,AC-002006,85.7,1165,MANUAL_REVIEW
GT-001443,AC-002069,100.0,221,VERIFY_HIRE_DATE
GT-006743,AC-002083,85.7,2107,MANUAL_REVIEW
GT-000480,AC-002140,100.0,1124,VERIFY_HIRE_DATE
GT-006027,AC-002145,100.0,2113,VERIFY_HIRE_DATE
GT-005434,AC-002189,100.0,681,VERIFY_HIRE_DATE
GT-001406,AC-002406,100.0,1151,VERIFY_HIRE_DATE
GT-010815,AC-002459,100.0,171,VERIFY_HIRE_DATE
GT-003716,AC-002463,100.0,957,VERIFY_HIRE_DATE
GT-012799,AC-002502,100.0,1102,VERIFY_HIRE_DATE
